id	dsd_id	name	province_id	district_id	centroid	population
LK-6103	LK-6103	Giribawa	LK-6	LK-61	[8.104212722553564, 80.18369244669724]	31412.0
LK-6106	LK-6106	Galgamuwa	LK-6	LK-61	[8.018491514964769, 80.25910218462062]	55078.0
LK-6109	LK-6109	Ehetuwewa	LK-6	LK-61	[7.964619879436909, 80.35627764938361]	25781.0
LK-6112	LK-6112	Ambanpola	LK-6	LK-61	[7.907975096540798, 80.22392523640369]	22878.0
LK-6115	LK-6115	Kotavehera	LK-6	LK-61	[7.864028695380707, 80.12300565313839]	21263.0
LK-6118	LK-6118	Rasnayakapura	LK-6	LK-61	[7.765047748518595, 80.02496458285725]	21893.0
LK-6121	LK-6121	Nikaweratiya	LK-6	LK-61	[7.763561309816497, 80.14692587013462]	40452.0
LK-6124	LK-6124	Maho	LK-6	LK-61	[7.8054386320328195, 80.29057774285211]	57485.0
LK-6127	LK-6127	Polpithigama	LK-6	LK-61	[7.803197444927151, 80.42756242470125]	76139.0
LK-6130	LK-6130	Ibbagamuwa	LK-6	LK-61	[7.618180873394987, 80.47129357618866]	84961.0
LK-6133	LK-6133	Ganewatta	LK-6	LK-61	[7.656626283346136, 80.36997582507102]	40137.0
LK-6136	LK-6136	Wariyapola	LK-6	LK-61	[7.661853861725958, 80.23958945304683]	61425.0
LK-6139	LK-6139	Kobeigane	LK-6	LK-61	[7.684313883165642, 80.10088316401344]	35975.0
LK-6142	LK-6142	Bingiriya	LK-6	LK-61	[7.606987222689508, 79.96911161475289]	62349.0
LK-6145	LK-6145	Panduwasnuwara West	LK-6	LK-61	[7.599350073322218, 80.07824530763357]	66122.0
LK-6148	LK-6148	Panduwasnuwara East	LK-6	LK-61	[7.557155094772264, 80.14376187383645]	30006.0
LK-6149	LK-6149	Bamunakotuwa	LK-6	LK-61	[7.547749269160849, 80.25265231322413]	36217.0
LK-6151	LK-6151	Maspotha	LK-6	LK-61	[7.557194165414236, 80.3248734379893]	34262.0
LK-6154	LK-6154	Kurunegala	LK-6	LK-61	[7.514551075152327, 80.35327623927373]	80755.0
LK-6157	LK-6157	Mallawapitiya	LK-6	LK-61	[7.46573890358845, 80.39021679122344]	52634.0
LK-6160	LK-6160	Mawathagama	LK-6	LK-61	[7.425132231785419, 80.44632338842617]	64074.0
LK-6163	LK-6163	Rideegama	LK-6	LK-61	[7.51739445246201, 80.51885091580476]	88714.0
