id	lg_id	name	province_id	district_id	centroid	population
LG-72003	LG-72003	Lankapura PS	LK-7	LK-72	[8.056455, 81.095277]	36452
LG-72004	LG-72004	Welikanda PS	LK-7	LK-72	[8.041277, 81.234527]	33770
LG-72005	LG-72005	Dimbulagala PS	LK-7	LK-72	[7.788259, 81.123945]	79661
LG-72006	LG-72006	Polonnaruwa PS	LK-7	LK-72	[7.868402, 80.986181]	48722
LG-72007	LG-72007	Polonnaruwa MC	LK-7	LK-72	[7.922672, 81.004994]	33704
LG-72008	LG-72008	Elahera PS	LK-7	LK-72	[7.809039, 80.841815]	43915
LG-81001	LG-81001	Mahiyanganaya PS	LK-8	LK-81	[7.438558, 81.083196]	75776
LG-81002	LG-81002	Rideemaliyadda PS	LK-8	LK-81	[7.273958, 81.128715]	51618
LG-81003	LG-81003	Meegahakivula PS	LK-8	LK-81	[7.125471, 81.083227]	19719
LG-81004	LG-81004	Kandaketiya PS	LK-8	LK-81	[7.130739, 80.994074]	23075
LG-81005	LG-81005	Soranathota PS	LK-8	LK-81	[7.04563, 81.049521]	22571
LG-81006	LG-81006	Passara PS	LK-8	LK-81	[6.965022, 81.147937]	48807
LG-81007	LG-81007	Lunugala PS	LK-8	LK-81	[7.038373, 81.188135]	31381
LG-81008	LG-81008	Badulla MC	LK-8	LK-81	[6.989464, 81.057626]	42237
LG-81009	LG-81009	Badulla PS	LK-8	LK-81	[6.98534, 81.097466]	32805
