id	moh_id	name	province_id	district_id	ed_id	centroid	population
MOH-52016	MOH-52016	DEHIYATHAKANDIYA	LK-5	LK-52	EC-13	[7.605451162950512, 81.06831754783919]	50413
MOH-52017	MOH-52017	LAHUGALA	LK-5	LK-52	EC-13	[6.906710748893988, 81.72767753092529]	14349
MOH-52018	MOH-52018	MAHAOYA	LK-5	LK-52	EC-13	[7.562786425127664, 81.34875332900297]	20828
MOH-52019	MOH-52019	PADIYATHALAWA	LK-5	LK-52	EC-13	[7.426947776080791, 81.2622542488307]	18290
MOH-52020	MOH-52020	UHANA	LK-5	LK-52	EC-13	[7.3975347061253425, 81.59316903228303]	54683
MOH-41001	MOH-41001	KAYTS	LK-4	LK-41	EC-10	[9.62088733315226, 79.83659623196885]	40018
MOH-41002	MOH-41002	CHAVAKACHCHERI	LK-4	LK-41	EC-10	[9.674018319934977, 80.19180448858398]	64704
MOH-41003	MOH-41003	NALLUR	LK-4	LK-41	EC-10	[9.681873312708944, 80.03313796721426]	68142
MOH-41004	MOH-41004	JAFFNA	LK-4	LK-41	EC-10	[9.663160213933983, 80.02158400688336]	50491
MOH-41005	MOH-41005	UDUVIL	LK-4	LK-41	EC-10	[9.744411702170982, 80.03444170211145]	53016
MOH-41006	MOH-41006	KOPAY	LK-4	LK-41	EC-10	[9.74072531105465, 80.0929977932276]	73225
MOH-41007	MOH-41007	POINT PEDRO	LK-4	LK-41	EC-10	[9.666127320265211, 80.36075668105575]	60331
MOH-41008	MOH-41008	TELLIPALAI	LK-4	LK-41	EC-10	[9.788953445427273, 80.04074293910465]	29518
MOH-41009	MOH-41009	SANDILIPAY	LK-4	LK-41	EC-10	[9.750608151976342, 79.98090345875441]	52269
MOH-41010	MOH-41010	CHANKANAI	LK-4	LK-41	EC-10	[9.739659515703693, 79.94897733130189]	46438
MOH-41011	MOH-41011	KARAVEDDY	LK-4	LK-41	EC-10	[9.7939399115585, 80.18574626361497]	45730
MOH-44001	MOH-44001	ODDUSUDDAN	LK-4	LK-44	EC-11	[8.98924463631944, 80.84322551341495]	1504
MOH-44002	MOH-44002	MANTHAI EAST	LK-4	LK-44	EC-11		0
MOH-44003	MOH-44003	MULLAITIVU	LK-4	LK-44	EC-11	[8.96627829127041, 80.7373424454668]	3397
MOH-44004	MOH-44004	PUTHUKKUDIYIRUPPU	LK-4	LK-44	EC-11	[8.992118758466228, 80.7729980652881]	3084
MOH-44005	MOH-44005	MALLAVI	LK-4	LK-44	EC-11		0
MOH-43001	MOH-43001	VAVUNIYA	LK-4	LK-43	EC-11	[8.834602973219454, 80.4563280796779]	113116
MOH-43002	MOH-43002	VAVUNIYA SOUTH	LK-4	LK-43	EC-11	[8.747432177728745, 80.52819719616353]	12243
MOH-43003	MOH-43003	WELIOYA	LK-4	LK-43	EC-11	[8.886504234367848, 80.48950328151699]	6239
MOH-43004	MOH-43004	CHEDDIKULAM	LK-4	LK-43	EC-11	[8.69316243141726, 80.29616304599523]	29886
MOH-43005	MOH-43005	VAVUNIYA NORTH	LK-4	LK-43	EC-11	[9.01101193559195, 80.57271795394054]	10576
MOH-42001	MOH-42001	NANATTAN	LK-4	LK-42	EC-11	[8.828939990056545, 79.99821084490763]	14942
MOH-42002	MOH-42002	MANNAR TOWN	LK-4	LK-42	EC-11	[9.130980147708778, 80.13576513547243]	4326
MOH-42003	MOH-42003	MANTHAI WEST	LK-4	LK-42	EC-11	[9.034438572452176, 80.09789863203959]	261
MOH-42004	MOH-42004	MUSALAI	LK-4	LK-42	EC-11	[8.67640548241903, 80.0207061799515]	8119
MOH-42005	MOH-42005	MADHU	LK-4	LK-42	EC-11		0
MOH-45001	MOH-45001	KILINOCHCHI	LK-4	LK-45	EC-10	[9.361332610668956, 80.37575130787938]	61484
MOH-45002	MOH-45002	POONAKARY	LK-4	LK-45	EC-10	[9.361247297541812, 80.18596117608853]	20302
MOH-45003	MOH-45003	KANDAWALAI	LK-4	LK-45	EC-10	[9.441279645954012, 80.48767211490224]	23194
MOH-45004	MOH-45004	PALAI	LK-4	LK-45	EC-10	[9.587893157352278, 80.35662971540762]	8530
MOH-91001	MOH-91001	AYAGAMA	LK-9	LK-91	EC-21	[6.652391606280978, 80.28951112702482]	29898
MOH-91002	MOH-91002	BALANGODA	LK-9	LK-91	EC-21	[6.627789958707949, 80.77201485069901]	79087
MOH-91003	MOH-91003	EHELIYAGODA	LK-9	LK-91	EC-21	[6.837496006855171, 80.2275377921677]	70839
MOH-91004	MOH-91004	ELAPATHA	LK-9	LK-91	EC-21	[6.662016829364123, 80.35349145185562]	37853
MOH-91005	MOH-91005	EMBILIPITIYA	LK-9	LK-91	EC-21	[6.3518403611863565, 80.81739207597805]	132992
MOH-91006	MOH-91006	GODAKAWELA	LK-9	LK-91	EC-21	[6.499133274708964, 80.64163133566609]	76469
MOH-91007	MOH-91007	IMBULPE	LK-9	LK-91	EC-21	[6.714690151507568, 80.73774205795125]	59477
MOH-91008	MOH-91008	KAHAWATHTHA	LK-9	LK-91	EC-21	[6.528196192575513, 80.54565127223923]	43298
MOH-91009	MOH-91009	KALAWANA	LK-9	LK-91	EC-21	[6.464410974242059, 80.45226581835111]	51307
MOH-91010	MOH-91010	KIRIELLA	LK-9	LK-91	EC-21	[6.75859706470246, 80.27393460189616]	32613
MOH-91011	MOH-91011	KOLONNA	LK-9	LK-91	EC-21	[6.39176902907503, 80.68635527055393]	47220
MOH-91012	MOH-91012	KURUWITA	LK-9	LK-91	EC-21	[6.797913947253467, 80.35660687728307]	95646
MOH-91013	MOH-91013	NIVITHIGALA	LK-9	LK-91	EC-21	[6.570634913735899, 80.45753611018795]	60130
MOH-91014	MOH-91014	OPANAYAKA	LK-9	LK-91	EC-21	[6.611903632792622, 80.62551441586407]	26587
MOH-91015	MOH-91015	PELMADULLA	LK-9	LK-91	EC-21	[6.635655550059733, 80.51008591322882]	89469
MOH-91016	MOH-91016	RATNAPURA-MC	LK-9	LK-91	EC-21	[6.682695622143192, 80.41795215290112]	42414
MOH-91017	MOH-91017	RATNAPURA	LK-9	LK-91	EC-21	[6.735557738544431, 80.48927913142636]	77798
MOH-91018	MOH-91018	WELIGEPOLA	LK-9	LK-91	EC-21	[6.542479839231134, 80.74366917370331]	30983
MOH-72001	MOH-72001	DIMBULAGALA	LK-7	LK-72	EC-18	[7.788374772658488, 81.12401521677815]	78820
MOH-72002	MOH-72002	ELAHERA	LK-7	LK-72	EC-18	[7.809039354053883, 80.84181551965584]	43915
MOH-72003	MOH-72003	HINGURAKGODA	LK-7	LK-72	EC-18	[8.105430268446757, 80.87183256478177]	64289
MOH-72004	MOH-72004	LANKAPURA	LK-7	LK-72	EC-18	[8.056454858918167, 81.09527663478156]	36452
MOH-72005	MOH-72005	MEDIRIGIRIYA	LK-7	LK-72	EC-18	[8.184528198880939, 81.04036146268672]	65575
MOH-72006	MOH-72006	THAMANKADUWA	LK-7	LK-72	EC-18	[7.873103966349022, 80.98784058307928]	82426
MOH-72007	MOH-72007	WELIKANDA	LK-7	LK-72	EC-18	[8.04127713105193, 81.23452711113278]	33770
MOH-92001	MOH-92001	ARANAYAKA	LK-9	LK-92	EC-22	[7.17201172363749, 80.44535798147507]	65788
MOH-92002	MOH-92002	BULATHKOHUPITIYA	LK-9	LK-92	EC-22	[7.097348134020371, 80.35828595257861]	47095
MOH-92003	MOH-92003	DEHIOVITA	LK-9	LK-92	EC-22	[6.939019774622646, 80.28090307426763]	81315
MOH-92004	MOH-92004	DERANIYAGALA	LK-9	LK-92	EC-22	[6.906897251718921, 80.40284603505253]	45869
MOH-92005	MOH-92005	GALIGAMUWA	LK-9	LK-92	EC-22	[7.215154444235604, 80.30543901147466]	73157
MOH-92006	MOH-92006	KEGALLE	LK-9	LK-92	EC-22	[7.1967275272608004, 80.37638231668261]	90287
MOH-92007	MOH-92007	MAWANELLA	LK-9	LK-92	EC-22	[7.230010583357911, 80.47371213457335]	111727
MOH-92008	MOH-92008	RAMBUKKANA	LK-9	LK-92	EC-22	[7.318517923876358, 80.38769540804086]	69519
MOH-92009	MOH-92009	RUWANWELLA	LK-9	LK-92	EC-22	[7.063651710605723, 80.21876706170565]	63913
MOH-92010	MOH-92010	WARAKAPOLA	LK-9	LK-92	EC-22	[7.203836260825074, 80.23218478513583]	113056
MOH-92011	MOH-92011	YATIYANTHOTA	LK-9	LK-92	EC-22	[7.033594086240925, 80.36864992682331]	60353
MOH-81001	MOH-81001	Welimada	LK-8	LK-81	EC-19	[6.8599597277689055, 80.88094943891551]	100808
MOH-81002	MOH-81002	Rideemaliyadda	LK-8	LK-81	EC-19	[7.259411445998932, 81.13390102771687]	25640
MOH-81003	MOH-81003	Uva Paranagama	LK-8	LK-81	EC-19	[6.9674005462392685, 80.91732620282653]	77998
MOH-81004	MOH-81004	Haliela	LK-8	LK-81	EC-19	[6.952733060586659, 81.02255542150345]	89941
MOH-81005	MOH-81005	Mahiyanganaya	LK-8	LK-81	EC-19	[7.420345742395472, 81.11618527477223]	33794
MOH-81006	MOH-81006	Lunugala	LK-8	LK-81	EC-19	[7.038373414756806, 81.18813494972892]	31381
MOH-81007	MOH-81007	Haputhale	LK-8	LK-81	EC-19	[6.792168953538015, 80.96282487348425]	49798
MOH-81008	MOH-81008	Badulla	LK-8	LK-81	EC-19	[6.987097182197349, 81.08816928547981]	75042
MOH-81009	MOH-81009	Soranathota	LK-8	LK-81	EC-19	[7.0456303695515, 81.04952072576522]	22571
MOH-81010	MOH-81010	Haldummulla	LK-8	LK-81	EC-19	[6.70094697599555, 80.96446860105893]	37558
MOH-81011	MOH-81011	Kandaketiya	LK-8	LK-81	EC-19	[7.1307393665877585, 80.9940744614972]	23075
MOH-81012	MOH-81012	Girandurukotte	LK-8	LK-81	EC-19	[7.48538163190231, 81.01182622391009]	36609
MOH-81013	MOH-81013	Ella	LK-8	LK-81	EC-19	[6.867708608944537, 81.06647521385416]	45181
MOH-81014	MOH-81014	Meegahakivula	LK-8	LK-81	EC-19	[7.125470637713869, 81.0832273507071]	19719
MOH-81015	MOH-81015	Bandarawela	LK-8	LK-81	EC-19	[6.829623699594795, 81.00654517579513]	65502
MOH-81016	MOH-81016	Passara	LK-8	LK-81	EC-19	[6.965022544711373, 81.14793721285845]	48807
MOH-71001	MOH-71001	HOROWPOTHANA	LK-7	LK-71	EC-17	[8.512129885656288, 80.85071077894854]	36990
MOH-71002	MOH-71002	NUWARAGAM PALATHA CENTRAL	LK-7	LK-71	EC-17	[8.491230159592314, 80.24718145824865]	83690
MOH-71003	MOH-71003	IPALOGAMA	LK-7	LK-71	EC-17	[8.08646594944049, 80.50773705127159]	38862
MOH-71004	MOH-71004	KAHATAGASDIGILIYA	LK-7	LK-71	EC-17	[8.42280321104469, 80.7115999536312]	40339
MOH-71005	MOH-71005	NUWARAGAM PALATHA EAST	LK-7	LK-71	EC-17	[8.283114457264123, 80.4257158613188]	90961
MOH-71006	MOH-71006	KEBITHIGOLLEWA	LK-7	LK-71	EC-17	[8.717652911578384, 80.7092295655233]	22325
MOH-71007	MOH-71007	THIRAPPANE	LK-7	LK-71	EC-17	[8.206243166336439, 80.5469141179323]	31197
MOH-71008	MOH-71008	PADAVIYA	LK-7	LK-71	EC-17	[8.85196082351102, 80.78452913248886]	22998
MOH-71009	MOH-71009	GALENBIDUNUWAWE	LK-7	LK-71	EC-17	[8.266313424025016, 80.70699230647557]	46992
MOH-71010	MOH-71010	MEDAWACHCHIYA	LK-7	LK-71	EC-17	[8.58865921071105, 80.49694323374071]	46906
MOH-71011	MOH-71011	KEKIRAWA	LK-7	LK-71	EC-17	[8.067227781429642, 80.65931943136191]	74823
MOH-71012	MOH-71012	THAMBUTTEGAMA	LK-7	LK-71	EC-17	[8.15553435191302, 80.31630780260397]	42437
MOH-71013	MOH-71013	GALNEWA	LK-6	LK-61	EC-15	[8.020257401283034, 80.45006760005994]	34165
MOH-71014	MOH-71014	MIHINTALE	LK-7	LK-71	EC-17	[8.350028889262145, 80.54308898723426]	35293
MOH-71015	MOH-71015	RAMBEWA	LK-7	LK-71	EC-17	[8.475896017405566, 80.55081880702889]	36782
MOH-71016	MOH-71016	THALAWA	LK-7	LK-71	EC-17	[8.1843073058402, 80.3772435802607]	57793
MOH-71017	MOH-71017	NOCHCHIYAGAMA	LK-7	LK-71	EC-17	[8.332151789611876, 80.12478486978769]	49886
MOH-71018	MOH-71018	PALAGALA	LK-7	LK-71	EC-17	[7.906170965336567, 80.53780135710596]	34002
MOH-71019	MOH-71019	RAJANGANAYA	LK-7	LK-71	EC-17	[8.182828451464971, 80.18542059930463]	33543
MOH-61001	MOH-61001	Galgamuwa	LK-6	LK-61	EC-15	[7.997383006407242, 80.29641071668316]	80859
