id	name	country_id	province_id	district_id	ed_id	pd_id	centroid	population
EC-21G	Kalawana	LK	LK-9	LK-91	EC-21	EC-21G	[6.5246722284515135, 80.4027719971771]	90822
EC-21H	Kolonna	LK	LK-9	LK-91	EC-21	EC-21H	[6.366175954460242, 80.77206217393854]	180667
EC-22A	Dedigama	LK	LK-9	LK-92	EC-22	EC-22A	[7.203836260825044, 80.23218478513553]	113056
EC-22B	Galigamuwa	LK	LK-9	LK-92	EC-22	EC-22B	[7.203688151509849, 80.31016455723714]	84968
EC-22C	Kegalle	LK	LK-9	LK-92	EC-22	EC-22C	[7.212541000215485, 80.36780365499379]	88998
EC-22D	Rambukkana	LK	LK-9	LK-92	EC-22	EC-22D	[7.323137513662999, 80.3863151048717]	82769
EC-22E	Mawanella	LK	LK-9	LK-92	EC-22	EC-22E	[7.226987298723474, 80.47347626246957]	119029
EC-22F	Aranayaka	LK	LK-9	LK-92	EC-22	EC-22F	[7.1616275674819985, 80.43977107683924]	63018
EC-22G	Yatiyanthota	LK	LK-9	LK-92	EC-22	EC-22G	[7.050784024583566, 80.36737248125348]	97713
EC-22H	Ruwanwella	LK	LK-9	LK-92	EC-22	EC-22H	[7.04246895753348, 80.22765377819016]	99127
EC-22I	Deraniyagala	LK	LK-9	LK-92	EC-22	EC-22I	[6.911335529701909, 80.36062514487554]	91970
