id	moh_id	name	centroid
MOH-53003	MOH-53003	KUCHCHAVELI	[8.800632361167583, 81.05374334410531]
MOH-53004	MOH-53004	MUTHUR	[8.42625086319934, 81.28901423821303]
MOH-53005	MOH-53005	PADAVI SRI PURA	[8.915611887141218, 80.85212008135484]
MOH-53006	MOH-53006	GOMARANKADAWALA	[8.677164075503937, 80.99376074629149]
MOH-53007	MOH-53007	SERUVILA	[8.293938142992445, 81.24614435318095]
MOH-53008	MOH-53008	THAMPALAGAMAM	[8.492791452208605, 81.04953474740917]
MOH-53009	MOH-53009	UPPUVELI	[8.584645420027922, 81.1693105679928]
MOH-53010	MOH-53010	TRINCOMALEE	[8.56973627980262, 81.22750192222696]
MOH-53011	MOH-53011	EACHCHILAMPATRU	[8.29713687943167, 81.34739630567842]
MOH-61001	MOH-61001	Galgamuwa	[7.997383006407259, 80.2964107166836]
MOH-61002	MOH-61002	Ambanpola	[7.907975096540804, 80.2239252364037]
MOH-61003	MOH-61003	Ganewatta	[7.6561007290318495, 80.37077971110932]
MOH-61004	MOH-61004	Mahawa	[7.805438632032809, 80.2905777428522]
MOH-61005	MOH-61005	Kurunegala	[7.514551075152316, 80.35327623927375]
MOH-61006	MOH-61006	Panduwasnuwara	[7.584006959239449, 80.1015415265507]
MOH-61007	MOH-61007	Kobeigane	[7.684313883165644, 80.10088316401344]
MOH-61008	MOH-61008	Giribawa	[8.104212722553518, 80.18369244669687]
MOH-61009	MOH-61009	Polgahawela	[7.375230733514694, 80.30993070744363]
MOH-61010	MOH-61010	Udubaddawa	[7.480167906862755, 79.94722532971191]
MOH-61011	MOH-61011	Wariyapola	[7.661778619782498, 80.24021912837303]
MOH-61012	MOH-61012	Pannala	[7.362623969581088, 80.03109836703823]
MOH-61013	MOH-61013	Mawathagama	[7.425195775120663, 80.44621334229502]
MOH-61014	MOH-61014	Rideegama	[7.517404412372438, 80.51876438739527]
MOH-61015	MOH-61015	Bamunukotuwa	[7.546309572091109, 80.27028694756861]
MOH-61016	MOH-61016	Bingiriya	[7.60698722268951, 79.96911161475298]
MOH-61017	MOH-61017	Polpithigama	[7.803197444927133, 80.42756242470129]
MOH-61018	MOH-61018	ALAWWA	[7.328805628037316, 80.21768099398818]
MOH-61019	MOH-61019	Katupotha	[7.551298115664947, 80.2119211815235]
MOH-61020	MOH-61020	Kotawehera	[7.86402869538071, 80.12300565313842]
MOH-61021	MOH-61021	Ibbagamuwa	[7.6198297789633544, 80.47174697202438]
MOH-61022	MOH-61022	Narammala	[7.397766538969641, 80.19361533673853]
MOH-61023	MOH-61023	Mallawapitiya	[7.46563998944799, 80.39072686873018]
MOH-61024	MOH-61024	Maspotha	[7.5575116016892405, 80.32474603819756]
MOH-61025	MOH-61025	Kuliyapitiya	[7.471742350567729, 80.10148213394756]
MOH-61026	MOH-61026	Nikaweratiya	[7.764233642363286, 80.09176144070355]
MOH-61027	MOH-61027	Weerambugedara	[7.465372281706091, 80.27178336722639]
MOH-62001	MOH-62001	Mundalama	[7.859755593142093, 79.81382636518478]
MOH-62002	MOH-62002	Anamaduwa	[7.879268135331652, 79.95987268336503]
MOH-62003	MOH-62003	Chilaw	[7.548868893326423, 79.85142327122422]
MOH-62004	MOH-62004	Dankotuwa	[7.320856519822558, 79.90604337342839]
MOH-62005	MOH-62005	Karuwalagaswewa	[8.0925834321016, 80.02260133838816]
MOH-62006	MOH-62006	Wennappuwa	[7.324473806870124, 79.8546512878448]
MOH-62007	MOH-62007	Arachchikattuwa	[7.678914838812015, 79.8488078306778]
MOH-62008	MOH-62008	Nattandiya	[7.395957079025684, 79.87400152768183]
MOH-62009	MOH-62009	Puttalam	[8.282968770611326, 79.90303717152545]
MOH-62010	MOH-62010	Kalpitiya	[8.08383116534419, 79.73842366858874]
MOH-62011	MOH-62011	Mahawewa	[7.454828642977368, 79.85095188297207]
MOH-62012	MOH-62012	Pallama	[7.727252103008467, 79.93197290933759]
MOH-71001	MOH-71001	HOROWPOTHANA	[8.512129885656295, 80.85071077894838]
MOH-71002	MOH-71002	NUWARAGAM PALATHA CENTRAL	[8.491230159592302, 80.24718145824858]
MOH-71003	MOH-71003	IPALOGAMA	[8.086465949440479, 80.50773705127163]
MOH-71004	MOH-71004	KAHATAGASDIGILIYA	[8.42280321104469, 80.71159995363121]
MOH-71005	MOH-71005	NUWARAGAM PALATHA EAST	[8.283114457264128, 80.42571586131889]
MOH-71006	MOH-71006	KEBITHIGOLLEWA	[8.717652911578394, 80.70922956552342]
MOH-71007	MOH-71007	THIRAPPANE	[8.206243166336439, 80.5469141179323]
MOH-71008	MOH-71008	PADAVIYA	[8.851960823511003, 80.78452913248881]
MOH-71009	MOH-71009	GALENBIDUNUWAWE	[8.266313424024995, 80.70699230647543]
MOH-71010	MOH-71010	MEDAWACHCHIYA	[8.588659210711048, 80.49694323374055]
MOH-71011	MOH-71011	KEKIRAWA	[8.067227781429626, 80.65931943136175]
MOH-71012	MOH-71012	THAMBUTTEGAMA	[8.155534351913033, 80.31630780260399]
MOH-71013	MOH-71013	GALNEWA	[8.020257401283038, 80.45006760005987]
MOH-71014	MOH-71014	MIHINTALE	[8.350028889262138, 80.54308898723417]
MOH-71015	MOH-71015	RAMBEWA	[8.475896017405564, 80.55081880702883]
MOH-71016	MOH-71016	THALAWA	[8.184307305840203, 80.37724358026055]
