region_id	field_num	field_value
LK-3221125	5	0
LK-3221125	6	34
LK-3221125	7	0
LK-1324015	0	344
LK-1324015	1	266
LK-1324015	2	41
LK-1324015	3	4
LK-1324015	4	0
LK-1324015	5	1
LK-1324015	6	32
LK-1324015	7	0
LK-3221120	0	377
LK-3221120	1	289
LK-3221120	2	62
LK-3221120	3	12
LK-3221120	4	0
LK-3221120	5	0
LK-3221120	6	13
LK-3221120	7	1
LK-7139015	0	123
LK-7139015	1	76
LK-7139015	2	4
LK-7139015	3	25
LK-7139015	4	0
LK-7139015	5	1
LK-7139015	6	17
LK-7139015	7	0
LK-1324010	0	326
LK-1324010	1	229
LK-1324010	2	33
LK-1324010	3	21
LK-1324010	4	0
LK-1324010	5	0
LK-1324010	6	43
LK-1324010	7	0
LK-6145025	0	346
LK-6145025	1	273
LK-6145025	2	5
LK-6145025	3	24
LK-6145025	4	0
LK-6145025	5	0
LK-6145025	6	43
LK-6145025	7	1
LK-1224395	0	801
LK-1224395	1	455
LK-1224395	2	280
LK-1224395	3	0
LK-1224395	4	5
LK-1224395	5	0
LK-1224395	6	58
LK-1224395	7	3
LK-1224390	0	507
LK-1224390	1	397
LK-1224390	2	73
LK-1224390	3	5
LK-1224390	4	0
LK-1224390	5	0
LK-1224390	6	29
LK-1224390	7	3
LK-4121040	0	261
LK-4121040	1	236
LK-4121040	2	16
LK-4121040	3	6
LK-4121040	4	0
LK-4121040	5	3
LK-4121040	6	0
LK-4121040	7	0
LK-6175125	0	403
LK-6175125	1	324
LK-6175125	2	44
LK-6175125	3	7
LK-6175125	4	0
LK-6175125	5	1
LK-6175125	6	27
LK-6175125	7	0
LK-3136290	0	266
LK-3136290	1	184
LK-3136290	2	58
LK-3136290	3	5
LK-3136290	4	0
LK-3136290	5	0
LK-3136290	6	19
LK-3136290	7	0
LK-3136295	0	299
LK-3136295	1	201
LK-3136295	2	64
LK-3136295	3	6
LK-3136295	4	0
LK-3136295	5	0
LK-3136295	6	28
LK-3136295	7	0
LK-5104035	0	1219
LK-5104035	1	1163
LK-5104035	2	9
LK-5104035	3	6
LK-5104035	4	0
LK-5104035	5	34
LK-5104035	6	6
LK-5104035	7	1
LK-5104030	0	794
LK-5104030	1	776
LK-5104030	2	2
LK-5104030	3	6
LK-5104030	4	0
LK-5104030	5	9
LK-5104030	6	1
LK-5104030	7	0
LK-2230145	0	362
LK-2230145	1	229
LK-2230145	2	4
LK-2230145	3	79
LK-2230145	4	1
LK-2230145	5	0
LK-2230145	6	25
LK-2230145	7	24
LK-5133205	0	99
LK-5133205	1	67
LK-5133205	2	0
LK-5133205	3	18
LK-5133205	4	0
LK-5133205	5	13
LK-5133205	6	1
LK-5133205	7	0
LK-5233060	0	265
LK-5233060	1	253
LK-5233060	2	3
LK-5233060	3	3
LK-5233060	4	0
LK-5233060	5	6
LK-5233060	6	0
LK-5233060	7	0
LK-2230140	0	226
LK-2230140	1	157
LK-2230140	2	1
LK-2230140	3	36
LK-2230140	4	0
LK-2230140	5	0
LK-2230140	6	15
LK-2230140	7	17
LK-2139385	0	264
LK-2139385	1	213
LK-2139385	2	37
LK-2139385	3	6
LK-2139385	4	0
LK-2139385	5	0
LK-2139385	6	7
LK-2139385	7	1
LK-1306295	0	259
LK-1306295	1	219
LK-1306295	2	13
LK-1306295	3	6
LK-1306295	4	0
LK-1306295	5	1
LK-1306295	6	20
LK-1306295	7	0
LK-3303050	0	568
LK-3303050	1	364
LK-3303050	2	12
LK-3303050	3	74
LK-3303050	4	0
LK-3303050	5	0
LK-3303050	6	118
LK-3303050	7	0
LK-3124175	0	229
LK-3124175	1	176
LK-3124175	2	21
LK-3124175	3	17
LK-3124175	4	0
LK-3124175	5	0
LK-3124175	6	15
LK-3124175	7	0
LK-2139380	0	219
LK-2139380	1	191
LK-2139380	2	19
LK-2139380	3	2
LK-2139380	4	0
LK-2139380	5	0
LK-2139380	6	7
LK-2139380	7	0
LK-3303055	0	543
LK-3303055	1	309
LK-3303055	2	29
LK-3303055	3	99
LK-3303055	4	0
LK-3303055	5	2
LK-3303055	6	104
LK-3303055	7	0
LK-6175120	0	355
LK-6175120	1	271
LK-6175120	2	27
LK-6175120	3	14
LK-6175120	4	0
LK-6175120	5	0
LK-6175120	6	42
LK-6175120	7	1
LK-1109085	0	694
LK-1109085	1	449
LK-1109085	2	190
LK-1109085	3	8
LK-1109085	4	2
LK-1109085	5	0
LK-1109085	6	44
LK-1109085	7	1
LK-1109080	0	2359
LK-1109080	1	1471
LK-1109080	2	665
LK-1109080	3	12
LK-1109080	4	0
LK-1109080	5	3
LK-1109080	6	207
LK-1109080	7	1
LK-7206005	0	456
LK-7206005	1	268
LK-7206005	2	4
LK-7206005	3	110
LK-7206005	4	0
LK-7206005	5	1
LK-7206005	6	73
LK-7206005	7	0
LK-5110090	0	308
LK-5110090	1	243
LK-5110090	2	0
LK-5110090	3	21
LK-5110090	4	1
LK-5110090	5	43
LK-5110090	6	0
LK-5110090	7	0
LK-6154235	0	424
LK-6154235	1	286
LK-6154235	2	42
LK-6154235	3	27
LK-6154235	4	0
LK-6154235	5	1
LK-6154235	6	66
LK-6154235	7	2
LK-6139095	0	234
LK-6139095	1	197
LK-6139095	2	1
LK-6139095	3	8
LK-6139095	4	0
LK-6139095	5	0
LK-6139095	6	28
LK-6139095	7	0
LK-6121140	0	208
LK-6121140	1	138
LK-6121140	2	8
LK-6121140	3	32
