id	dsd_id	name	province_id	district_id	centroid
LK-5303	LK-5303	Padavi Sri Pura	LK-5	LK-53	8.915612,80.852120
LK-5306	LK-5306	Kuchchaveli	LK-5	LK-53	8.808170,81.047854
LK-5309	LK-5309	Gomarankadawala	LK-5	LK-53	8.745845,80.959443
LK-5312	LK-5312	Morawewa	LK-5	LK-53	8.620077,81.022286
LK-5315	LK-5315	Trincomalee Town and Gravets	LK-5	LK-53	8.583287,81.174602
LK-5318	LK-5318	Thambalagamuwa	LK-5	LK-53	8.492791,81.049535
LK-5321	LK-5321	Kanthale	LK-5	LK-53	8.345954,81.056715
LK-5324	LK-5324	Kinniya	LK-5	LK-53	8.432268,81.163266
LK-5327	LK-5327	Muttur	LK-5	LK-53	8.430437,81.290462
LK-5330	LK-5330	Seruvila	LK-5	LK-53	8.298205,81.251466
LK-5333	LK-5333	Verugal (Eachchilampattu)	LK-5	LK-53	8.297137,81.347396
LK-6103	LK-6103	Giribawa	LK-6	LK-61	8.104213,80.183692
LK-6106	LK-6106	Galgamuwa	LK-6	LK-61	8.018492,80.259102
LK-6109	LK-6109	Ehetuwewa	LK-6	LK-61	7.964620,80.356278
LK-6112	LK-6112	Ambanpola	LK-6	LK-61	7.907975,80.223925
LK-6115	LK-6115	Kotavehera	LK-6	LK-61	7.864029,80.123006
LK-6118	LK-6118	Rasnayakapura	LK-6	LK-61	7.765048,80.024965
LK-6121	LK-6121	Nikaweratiya	LK-6	LK-61	7.763561,80.146926
LK-6124	LK-6124	Maho	LK-6	LK-61	7.805439,80.290578
LK-6127	LK-6127	Polpithigama	LK-6	LK-61	7.803197,80.427562
LK-6130	LK-6130	Ibbagamuwa	LK-6	LK-61	7.618181,80.471294
LK-6133	LK-6133	Ganewatta	LK-6	LK-61	7.656626,80.369976
LK-6136	LK-6136	Wariyapola	LK-6	LK-61	7.661854,80.239589
LK-6139	LK-6139	Kobeigane	LK-6	LK-61	7.684314,80.100883
LK-6142	LK-6142	Bingiriya	LK-6	LK-61	7.606987,79.969112
