id	name	country_id	province_id	district_id	ed_id	pd_id	centroid	population
EC-16A	Puttalam	LK	LK-6	LK-62	EC-16	EC-16A	[8.227620285415139, 79.8663223413585]	220047.0
EC-16B	Anamaduwa	LK	LK-6	LK-62	EC-16	EC-16B	[7.988050831993085, 79.96967638908103]	147182.0
EC-16C	Chilaw	LK	LK-6	LK-62	EC-16	EC-16C	[7.609861252685361, 79.85041500417825]	151434.0
EC-16D	Nattandiya	LK	LK-6	LK-62	EC-16	EC-16D	[7.422814104341607, 79.86427536474645]	113223.0
EC-16E	Wennappuwa	LK	LK-6	LK-62	EC-16	EC-16E	[7.322127481448534, 79.88798636888417]	130510.0
EC-17A	Medawachchiya	LK	LK-7	LK-71	EC-17	EC-17A	[8.668941654307131, 80.63771607466246]	117151.0
EC-17B	Horowpothana	LK	LK-7	LK-71	EC-17	EC-17B	[8.4545704708038, 80.8036171759027]	110279.0
EC-17C	Anuradhapura East	LK	LK-7	LK-71	EC-17	EC-17C	[8.336615838472147, 80.50180384824998]	137668.0
EC-17D	Anuradhapura West	LK	LK-7	LK-71	EC-17	EC-17D	[8.419972470880827, 80.19952404691121]	140272.0
EC-17E	Kalawewa	LK	LK-7	LK-71	EC-17	EC-17E	[8.123237818341815, 80.35507712088146]	160127.0
EC-17F	Mihinthale	LK	LK-7	LK-71	EC-17	EC-17F	[8.205647736194479, 80.54805937909931]	85760.0
EC-17G	Kekirawa	LK	LK-7	LK-71	EC-17	EC-17G	[8.015060609029645, 80.62112028718613]	109318.0
EC-18A	Minneriya	LK	LK-7	LK-72	EC-18	EC-18A	[8.01008977169385, 80.86219436786988]	108204.0
EC-18B	Medirigiriya	LK	LK-7	LK-72	EC-18	EC-18B	[8.151189185421673, 81.05465653504221]	102027.0
EC-18C	Polonnaruwa	LK	LK-7	LK-72	EC-18	EC-18C	[7.905003346052641, 81.12588731926542]	195857.0
EC-19A	Mahiyanganaya	LK	LK-8	LK-81	EC-19	EC-19A	[7.370312262362644, 81.10278432345612]	127394.0
