id	name	country_id	province_id	district_id	ed_id	pd_id	centroid
EC-09D	Thissamaharama	LK	LK-3	LK-33	EC-09	EC-09D	[6.319606091371046, 81.26797250798872]
EC-10A	Kayts	LK	LK-4	LK-41	EC-10	EC-10A	[9.600177934963819, 79.82957742539176]
EC-10B	Vaddukoddai	LK	LK-4	LK-41	EC-10	EC-10B	[9.742501411490087, 79.92833122294468]
EC-10C	Kankesanthurai	LK	LK-4	LK-41	EC-10	EC-10C	[9.789053418988303, 80.02913595947975]
EC-10D	Manipay	LK	LK-4	LK-41	EC-10	EC-10D	[9.73157345882694, 80.00729603638199]
EC-10E	Kopay	LK	LK-4	LK-41	EC-10	EC-10E	[9.741606555992243, 80.09136097059294]
EC-10F	Udupiddy	LK	LK-4	LK-41	EC-10	EC-10F	[9.796160836159167, 80.17889258505504]
EC-10G	Point Pedro	LK	LK-4	LK-41	EC-10	EC-10G	[9.663410031704519, 80.36553271900947]
EC-10H	Chavakachcheri	LK	LK-4	LK-41	EC-10	EC-10H	[9.674018319934989, 80.191804488584]
EC-10I	Nallur	LK	LK-4	LK-41	EC-10	EC-10I	[9.681873312708934, 80.0331379672142]
EC-10J	Jaffna	LK	LK-4	LK-41	EC-10	EC-10J	[9.66316021393396, 80.02158400688322]
EC-10K	Kilinochchi	LK	LK-4	LK-45	EC-10	EC-10K	[9.416281200923775, 80.3381016894764]
EC-11A	Mannar	LK	LK-4	LK-42	EC-11	EC-11A	[8.855985112289643, 80.08474746278259]
EC-11B	Vavuniya	LK	LK-4	LK-43	EC-11	EC-11B	[8.854284616272968, 80.46814010104123]
EC-11C	Mullaitivu	LK	LK-4	LK-44	EC-11	EC-11C	[9.170311160450995, 80.54309952118615]
EC-12A	Kalkudah	LK	LK-5	LK-51	EC-12	EC-12A	[7.896783146562741, 81.40434851683426]
EC-12B	Batticaloa	LK	LK-5	LK-51	EC-12	EC-12B	[7.654834146661962, 81.560797168475]
EC-12C	Paddiruppu	LK	LK-5	LK-51	EC-12	EC-12C	[7.528332802827727, 81.69539738660252]
EC-13A	Ampara	LK	LK-5	LK-52	EC-13	EC-13A	[7.478470599676245, 81.37257149116648]
EC-13B	Samanthurai	LK	LK-5	LK-52	EC-13	EC-13B	[7.321573478051158, 81.75906550424872]
EC-13C	Kalmunai	LK	LK-5	LK-52	EC-13	EC-13C	[7.413319501003728, 81.8212234396091]
EC-13D	Pothuvil	LK	LK-5	LK-52	EC-13	EC-13D	[6.9465449361182054, 81.72230336479765]
EC-14A	Seruvila	LK	LK-5	LK-53	EC-14	EC-14A	[8.511283702111708, 81.06426603622879]
EC-14B	Trincomalee	LK	LK-5	LK-53	EC-14	EC-14B	[8.74385752537552, 81.07865904907023]
EC-14C	Muttur	LK	LK-5	LK-53	EC-14	EC-14C	[8.431675328112334, 81.21449833503297]
EC-15A	Galgamuwa	LK	LK-6	LK-61	EC-15	EC-15A	[8.00851475769784, 80.28762097885378]
EC-15B	Nikaweratiya	LK	LK-6	LK-61	EC-15	EC-15B	[7.777288924003918, 80.10340656026548]
EC-15C	Yapahuwa	LK	LK-6	LK-61	EC-15	EC-15C	[7.808596412826727, 80.33464658826252]
EC-15D	Hiriyala	LK	LK-6	LK-61	EC-15	EC-15D	[7.634334120859501, 80.43137130858437]
