id	name	centroid	province_id	district_id	dsd_id	ed_id
LK-5221	Kalmunai Tamil Division	[7.42398, 81.815497]	LK-5	LK-52	LK-5221	EC-13
LK-5224	Kalmunai	[7.416848, 81.822493]	LK-5	LK-52	LK-5224	EC-13
LK-5225	Sainthamaruthu	[7.386614, 81.831413]	LK-5	LK-52	LK-5225	EC-13
LK-5227	Karaitheevu	[7.371218, 81.836975]	LK-5	LK-52	LK-5227	EC-13
LK-5230	Ninthavur	[7.331615, 81.840911]	LK-5	LK-52	LK-5230	EC-13
LK-5233	Addalachchenai	[7.273512, 81.821379]	LK-5	LK-52	LK-5233	EC-13
LK-5234	Irakkamam	[7.24242, 81.729815]	LK-5	LK-52	LK-5234	EC-13
LK-5236	Akkaraipattu	[7.216869, 81.788659]	LK-5	LK-52	LK-5236	EC-13
LK-5239	Alayadiwembu	[7.177989, 81.801897]	LK-5	LK-52	LK-5239	EC-13
LK-5242	Damana	[7.139893, 81.627784]	LK-5	LK-52	LK-5242	EC-13
LK-5245	Thirukkovil	[7.0767, 81.773098]	LK-5	LK-52	LK-5245	EC-13
LK-5248	Pothuvil	[6.941704, 81.800157]	LK-5	LK-52	LK-5248	EC-13
LK-5251	Lahugala	[6.751389, 81.698623]	LK-5	LK-52	LK-5251	EC-13
LK-5303	Padavi Sri Pura	[8.915612, 80.85212]	LK-5	LK-53	LK-5303	EC-14
LK-5306	Kuchchaveli	[8.80817, 81.047854]	LK-5	LK-53	LK-5306	EC-14
LK-5309	Gomarankadawala	[8.745845, 80.959443]	LK-5	LK-53	LK-5309	EC-14
LK-5312	Morawewa	[8.620077, 81.022286]	LK-5	LK-53	LK-5312	EC-14
LK-5315	Trincomalee Town and Gravets	[8.583287, 81.174602]	LK-5	LK-53	LK-5315	EC-14
LK-5318	Thambalagamuwa	[8.492791, 81.049535]	LK-5	LK-53	LK-5318	EC-14
LK-5321	Kanthale	[8.345954, 81.056715]	LK-5	LK-53	LK-5321	EC-14
LK-5324	Kinniya	[8.432268, 81.163266]	LK-5	LK-53	LK-5324	EC-14
LK-5327	Muttur	[8.430437, 81.290462]	LK-5	LK-53	LK-5327	EC-14
LK-5330	Seruvila	[8.298205, 81.251466]	LK-5	LK-53	LK-5330	EC-14
LK-5333	Verugal (Eachchilampattu)	[8.297137, 81.347396]	LK-5	LK-53	LK-5333	EC-14
LK-6103	Giribawa	[8.104213, 80.183692]	LK-6	LK-61	LK-6103	EC-15
LK-6106	Galgamuwa	[8.018492, 80.259102]	LK-6	LK-61	LK-6106	EC-15
LK-6109	Ehetuwewa	[7.96462, 80.356278]	LK-6	LK-61	LK-6109	EC-15
LK-6112	Ambanpola	[7.907975, 80.223925]	LK-6	LK-61	LK-6112	EC-15
LK-6115	Kotavehera	[7.864029, 80.123006]	LK-6	LK-61	LK-6115	EC-15
LK-6118	Rasnayakapura	[7.765048, 80.024965]	LK-6	LK-61	LK-6118	EC-15
LK-6121	Nikaweratiya	[7.763561, 80.146926]	LK-6	LK-61	LK-6121	EC-15
LK-6124	Maho	[7.805439, 80.290578]	LK-6	LK-61	LK-6124	EC-15
LK-6127	Polpithigama	[7.803197, 80.427562]	LK-6	LK-61	LK-6127	EC-15
LK-6130	Ibbagamuwa	[7.618181, 80.471294]	LK-6	LK-61	LK-6130	EC-15
LK-6133	Ganewatta	[7.656626, 80.369976]	LK-6	LK-61	LK-6133	EC-15
LK-6136	Wariyapola	[7.661854, 80.239589]	LK-6	LK-61	LK-6136	EC-15
LK-6139	Kobeigane	[7.684314, 80.100883]	LK-6	LK-61	LK-6139	EC-15
LK-6142	Bingiriya	[7.606987, 79.969112]	LK-6	LK-61	LK-6142	EC-15
LK-6145	Panduwasnuwara West	[7.59935, 80.078245]	LK-6	LK-61	LK-6145	EC-15
LK-6148	Panduwasnuwara East	[7.557155, 80.143762]	LK-6	LK-61	LK-6148	EC-15
LK-6149	Bamunakotuwa	[7.547749, 80.252652]	LK-6	LK-61	LK-6149	EC-15
LK-6151	Maspotha	[7.557194, 80.324873]	LK-6	LK-61	LK-6151	EC-15
