id	lg_id	name	province_id	district_id	centroid
LG-31020	LG-31020	Habaraduwa PS	LK-3	LK-31	[6.001751986824181, 80.31962357169256]
LG-32001	LG-32001	Pitabeddara PS	LK-3	LK-32	[6.23924319166931, 80.47272225818669]
LG-32002	LG-32002	Kotapola PS	LK-3	LK-32	[6.3228609016190855, 80.53939855497602]
LG-32003	LG-32003	Pasgoda PS	LK-3	LK-32	[6.275885369079918, 80.60835698742484]
LG-32004	LG-32004	Mulatiyana PS	LK-3	LK-32	[6.14691551310665, 80.58650846902185]
LG-32005	LG-32005	Athuraliya PS	LK-3	LK-32	[6.117275738008319, 80.508634024168]
LG-32006	LG-32006	Akuressa PS	LK-3	LK-32	[6.135035112544876, 80.43999804924637]
LG-32007	LG-32007	Weligama PS	LK-3	LK-32	[5.999292528687035, 80.44185926639636]
LG-32008	LG-32008	Malimbada PS	LK-3	LK-32	[6.019324596214455, 80.49832052503857]
LG-32009	LG-32009	Kamburupitiya PS	LK-3	LK-32	[6.066377539312285, 80.56138261446588]
LG-32010	LG-32010	Hakmana PS	LK-3	LK-32	[6.09486593872586, 80.65003991104899]
LG-32011	LG-32011	Kirinda Puhulwella PS	LK-3	LK-32	[6.046061073699223, 80.63729517636499]
LG-32012	LG-32012	Thihagoda PS	LK-3	LK-32	[6.010129805094282, 80.55999295034802]
LG-32013	LG-32013	Weligama UC	LK-3	LK-32	[5.970843433196607, 80.42203171050171]
LG-32014	LG-32014	Matara PS	LK-3	LK-32	[5.9704675991014575, 80.57966338761659]
LG-32015	LG-32015	Matara MC	LK-3	LK-32	[5.9533755774961366, 80.53800472805811]
LG-32016	LG-32016	Devinuwara PS	LK-3	LK-32	[5.975776996267081, 80.61481710640984]
LG-32017	LG-32017	Dickwella PS	LK-3	LK-32	[5.985143977640161, 80.67363104593133]
LG-33001	LG-33001	Sooriyawewa PS	LK-3	LK-33	[6.2917376371798825, 81.01410563053035]
LG-33002	LG-33002	Lunugamvehera PS	LK-3	LK-33	[6.333403740079697, 81.16231291565907]
LG-33003	LG-33003	Tissamaharama PS	LK-3	LK-33	[6.380422563956716, 81.453569619457]
LG-33004	LG-33004	Hambantota PS	LK-3	LK-33	[6.2172651704146356, 81.12052143233437]
LG-33005	LG-33005	Hambantota MC	LK-3	LK-33	[6.166069206660997, 81.12490503209288]
LG-33006	LG-33006	Ambalantota PS	LK-3	LK-33	[6.161052089483598, 80.96309175797592]
LG-33007	LG-33007	Angunakolapelessa PS	LK-3	LK-33	[6.193917101216349, 80.85173243798039]
LG-33008	LG-33008	Weeraketiya PS	LK-3	LK-33	[6.167355585509456, 80.74300325457214]
LG-33009	LG-33009	Katuwana PS	LK-3	LK-33	[6.241718998412514, 80.69411268384289]
LG-33010	LG-33010	Beliatta PS	LK-3	LK-33	[6.050375429587911, 80.72077310584461]
LG-33011	LG-33011	Tangalla PS	LK-3	LK-33	[6.072751338898221, 80.8267618282236]
LG-33012	LG-33012	Tangalla UC	LK-3	LK-33	[6.0310094916235, 80.79490204636335]
LG-41001	LG-41001	Kayts PS	LK-4	LK-41	[9.676695175779935, 79.85765860296488]
LG-41002	LG-41002	Karainagar PS	LK-4	LK-41	[9.735371974942206, 79.87539724151549]
LG-41003	LG-41003	Valikamam West PS	LK-4	LK-41	[9.739659515703693, 79.94897733130189]
LG-41004	LG-41004	Valikamam South-West PS	LK-4	LK-41	[9.750608151976342, 79.98090345875441]
LG-41005	LG-41005	Valikamam North PS	LK-4	LK-41	[9.788953445427273, 80.04074293910465]
LG-41006	LG-41006	Valikamam South PS	LK-4	LK-41	[9.744411702170982, 80.03444170211145]
LG-41007	LG-41007	Valikamam East PS	LK-4	LK-41	[9.74072531105465, 80.0929977932276]
LG-41008	LG-41008	Vadamaradchy South-West PS	LK-4	LK-41	[9.793731875599777, 80.18589162072576]
LG-41009	LG-41009	Valvettithurai UC	LK-4	LK-41	[9.81865333198144, 80.15369945999436]
LG-41010	LG-41010	Point Pedro PS	LK-4	LK-41	[9.654960252643143, 80.37302795747357]
LG-41011	LG-41011	Point Pedro UC	LK-4	LK-41	[9.820361235977217, 80.24160274859625]
LG-41012	LG-41012	Chavakachcheri PS	LK-4	LK-41	[9.674862822948684, 80.19511526702368]
LG-41013	LG-41013	Chavakachcheri UC	LK-4	LK-41	[9.666668433762514, 80.1629900920912]
LG-41014	LG-41014	Nallur PS	LK-4	LK-41	[9.693593047588129, 80.03001211282692]
LG-41015	LG-41015	Jaffna MC	LK-4	LK-41	[9.667855636171575, 80.02947383208732]
LG-41016	LG-41016	Velanai PS	LK-4	LK-41	[9.621767452715783, 79.90407559329412]
LG-41017	LG-41017	Delft PS	LK-4	LK-41	[9.509640162137808, 79.69199060306853]
LG-42001	LG-42001	Mannar PS	LK-4	LK-42	[8.990017617765968, 79.89034625606064]
LG-42002	LG-42002	Mannar UC	LK-4	LK-42	[8.985505186525844, 79.8981824411711]
LG-42003	LG-42003	Manthai West PS	LK-4	LK-42	[8.936912554584985, 80.16971931129979]
LG-42004	LG-42004	Nanattan PS	LK-4	LK-42	[8.790771259586345, 80.06526906210682]
LG-42005	LG-42005	Musali PS	LK-4	LK-42	[8.67640548241903, 80.0207061799515]
LG-43001	LG-43001	Vavuniya North PS	LK-4	LK-43	[9.007359204538359, 80.56878609777338]
LG-43002	LG-43002	Vavuniya South (Sinhala) PS	LK-4	LK-43	[8.743897515545607, 80.5222086866325]
LG-43003	LG-43003	Vavuniya South (Tamil) PS	LK-4	LK-43	[8.838247896245862, 80.45419684077407]
LG-43004	LG-43004	Vavuniya UC	LK-4	LK-43	[8.755121334100412, 80.49375655780591]
LG-43005	LG-43005	Vengalacheddikulam PS	LK-4	LK-43	[8.69316243141726, 80.29616304599523]
LG-44001	LG-44001	Thunukkai PS	LK-4	LK-44	[9.221403075378376, 80.28693820584368]
LG-44002	LG-44002	Manthai East PS	LK-4	LK-44	[9.05286091473002, 80.30958392428835]
LG-44003	LG-44003	Puthukudiyiruppu PS	LK-4	LK-44	[9.21159263056731, 80.58094467090802]
LG-44004	LG-44004	Maritimepattu PS	LK-4	LK-44	[9.155828229993093, 80.78828793493766]
LG-45001	LG-45001	Pachchilaipalli PS	LK-4	LK-45	[9.587893157352278, 80.35662971540762]
LG-45002	LG-45002	Karachchi PS	LK-4	LK-45	[9.397178015463728, 80.42593261376993]
LG-45003	LG-45003	Poonakary PS	LK-4	LK-45	[9.361247297541812, 80.18596117608853]
LG-51001	LG-51001	Koralai Pattu North PS	LK-5	LK-51	[8.062935427056647, 81.4066783016624]
LG-51002	LG-51002	Koralai Pattu West PS	LK-5	LK-51	[7.9070341533708435, 81.34674540147063]
LG-51003	LG-51003	Koralai Pattu PS	LK-5	LK-51	[7.850667848724544, 81.40726778112025]
LG-51004	LG-51004	Eravur Pattu PS	LK-5	LK-51	[7.710044679265859, 81.4681662767795]
LG-51005	LG-51005	Eravur UC	LK-5	LK-51	[7.777229191958363, 81.60524275051095]
LG-51006	LG-51006	Batticaloa MC	LK-5	LK-51	[7.72818968098746, 81.6867994370599]
LG-51007	LG-51007	Manmunai West PS	LK-5	LK-51	[7.63173218980525, 81.5958146018849]
LG-51008	LG-51008	Kattankudy UC	LK-5	LK-51	[7.682747940225716, 81.7321197309202]
LG-51009	LG-51009	Manmunai Pattu PS	LK-5	LK-51	[7.639266607423102, 81.75381274293271]
LG-51010	LG-51010	Manmunai South-West PS	LK-5	LK-51	[7.563008843489287, 81.65338435551934]
LG-51011	LG-51011	Poratheevu Pattu PS	LK-5	LK-51	[7.4995885821858055, 81.70680545058421]
LG-51012	LG-51012	Manmunai South & Eruvil pattu PS	LK-5	LK-51	[7.522464555895918, 81.79090815808505]
LG-52001	LG-52001	Dehiattakandiya PS	LK-5	LK-52	[7.623935992232637, 81.08679358431925]
LG-52002	LG-52002	Padiyathalawa PS	LK-5	LK-52	[7.426947776080791, 81.2622542488307]
LG-52003	LG-52003	Mahaoya PS	LK-5	LK-52	[7.562786425127664, 81.34875332900297]
LG-52004	LG-52004	Uhana PS	LK-5	LK-52	[7.397682685829335, 81.5941458294734]
LG-52005	LG-52005	Namaloya PS	LK-5	LK-52	[7.265462109437514, 81.57861138892157]
LG-52006	LG-52006	Ampara UC	LK-5	LK-52	[7.290723920269989, 81.66522182514285]
LG-52007	LG-52007	Navithanveli PS	LK-5	LK-52	[7.413209882906603, 81.76556347322817]
LG-52008	LG-52008	Sammanthurai PS	LK-5	LK-52	[7.327002000044047, 81.7638318293103]
LG-52009	LG-52009	Kalmunai MC	LK-5	LK-52	[7.41331950100372, 81.82122343960907]
LG-52010	LG-52010	Karaitheevu PS	LK-5	LK-52	[7.371218406010776, 81.83697508301893]
LG-52011	LG-52011	Ninthavur PS	LK-5	LK-52	[7.331614536218272, 81.8409108257347]
LG-52012	LG-52012	Addalachchenai PS	LK-5	LK-52	[7.273511872998103, 81.82137856840964]
LG-52013	LG-52013	Irakkamam PS	LK-5	LK-52	[7.242420355339839, 81.72981461370053]
LG-52014	LG-52014	Akkaraipattu PS	LK-5	LK-52	[7.213936729274743, 81.77560411668085]
LG-52015	LG-52015	Akkaraipattu MC	LK-5	LK-52	[7.22994755999564, 81.8468792088003]
LG-52016	LG-52016	Alayadiwembu PS	LK-5	LK-52	[7.177988859658809, 81.80189700112756]
LG-52017	LG-52017	Damana PS	LK-5	LK-52	[7.136161048816193, 81.6263770947066]
LG-52018	LG-52018	Thirukkovil PS	LK-5	LK-52	[7.0767003807940165, 81.77309812413607]
LG-52019	LG-52019	Pottuvil PS	LK-5	LK-52	[6.941703931036191, 81.80015692907692]
LG-52020	LG-52020	Lahugala PS	LK-5	LK-52	[6.7513894258199345, 81.69862266920192]
LG-53001	LG-53001	Padavi Sri Pura PS	LK-5	LK-53	[8.915611887141234, 80.85212008135507]
LG-53002	LG-53002	Kuchchaveli PS	LK-5	LK-53	[8.811479236657378, 81.04437018021929]
LG-53003	LG-53003	Gomarankadawala PS	LK-5	LK-53	[8.745844506622829, 80.95944303182698]
LG-53004	LG-53004	Morawewa PS	LK-5	LK-53	[8.620076916350264, 81.02228562296295]
LG-53005	LG-53005	Trincomalee Town and Gravets PS	LK-5	LK-53	[8.584581395286582, 81.16909570678582]
LG-53006	LG-53006	Trincomalee UC	LK-5	LK-53	[8.571116581047946, 81.22654379694747]
LG-53007	LG-53007	Thambalagamuwa PS	LK-5	LK-53	[8.492791452208614, 81.0495347474092]
LG-53008	LG-53008	Kanthalai PS	LK-5	LK-53	[8.345953718495347, 81.05671494179138]
LG-53009	LG-53009	Kinniya PS	LK-5	LK-53	[8.429303345987412, 81.16196998169953]
LG-53010	LG-53010	Kinniya UC	LK-5	LK-53	[8.487344824888215, 81.18735255154442]
LG-53011	LG-53011	Muttur PS	LK-5	LK-53	[8.426250863199325, 81.28901423821284]
LG-53012	LG-53012	Seruvila PS	LK-5	LK-53	[8.293938142992445, 81.24614435318095]
LG-53013	LG-53013	Verugal PS	LK-5	LK-53	[8.297136879431655, 81.34739630567825]
LG-61001	LG-61001	Giribawa PS	LK-6	LK-61	[8.104212722553537, 80.183692446697]
LG-61002	LG-61002	Galgamuwa PS	LK-6	LK-61	[7.997383006407242, 80.29641071668316]
LG-61003	LG-61003	Maho PS	LK-6	LK-61	[7.841671470627681, 80.26702505338038]
LG-61004	LG-61004	Nikaweratiya PS	LK-6	LK-61	[7.8037197765394355, 80.10412390885335]
LG-61005	LG-61005	Polpithigama PS	LK-6	LK-61	[7.803197444927137, 80.4275624247011]
LG-61006	LG-61006	Ibbagamuwa PS	LK-6	LK-61	[7.634334120859473, 80.43137130858405]
LG-61007	LG-61007	Wariyapola PS	LK-6	LK-61	[7.621687725045337, 80.24462720360518]
LG-61008	LG-61008	Kobeigane PS	LK-6	LK-61	[7.684313883165648, 80.10088316401344]
LG-61009	LG-61009	Bingiriya PS	LK-6	LK-61	[7.60698722268951, 79.9691116147529]
LG-61010	LG-61010	Paduwasnuwara PS	LK-6	LK-61	[7.584006959239444, 80.1015415265506]
