id	name	country_id	province_id	district_id	ed_id	pd_id	centroid
EC-12C	Paddiruppu	LK	LK-5	LK-51	EC-12	EC-12C	[7.5283328028276975, 81.69539738660214]
EC-13A	Ampara	LK	LK-5	LK-52	EC-13	EC-13A	[7.4784705996762675, 81.37257149116674]
EC-13B	Samanthurai	LK	LK-5	LK-52	EC-13	EC-13B	[7.3212074322379745, 81.75868458766733]
EC-13C	Kalmunai	LK	LK-5	LK-52	EC-13	EC-13C	[7.413192203025682, 81.82122679334779]
EC-13D	Pothuvil	LK	LK-5	LK-52	EC-13	EC-13D	[6.94656003615227, 81.72228087391454]
EC-14A	Seruvila	LK	LK-5	LK-53	EC-14	EC-14A	[8.511283702111726, 81.06426603622896]
EC-14B	Trincomalee	LK	LK-5	LK-53	EC-14	EC-14B	[8.743857525375445, 81.07865904906984]
EC-14C	Muttur	LK	LK-5	LK-53	EC-14	EC-14C	[8.432157865766499, 81.2164578945283]
EC-15A	Galgamuwa	LK	LK-6	LK-61	EC-15	EC-15A	[8.00851475769782, 80.28762097885387]
EC-15B	Nikaweratiya	LK	LK-6	LK-61	EC-15	EC-15B	[7.7772889240039484, 80.10340656026574]
EC-15C	Yapahuwa	LK	LK-6	LK-61	EC-15	EC-15C	[7.808849974284411, 80.33627771538933]
EC-15D	Hiriyala	LK	LK-6	LK-61	EC-15	EC-15D	[7.634334120859473, 80.43137130858405]
EC-15E	Wariyapola	LK	LK-6	LK-61	EC-15	EC-15E	[7.621687725045337, 80.24462720360518]
EC-15F	Panduwasnuwara	LK	LK-6	LK-61	EC-15	EC-15F	[7.583988607296609, 80.10139198138266]
EC-15G	Bingiriya	LK	LK-6	LK-61	EC-15	EC-15G	[7.559434639366479, 79.96090506209765]
EC-15H	Katugampola	LK	LK-6	LK-61	EC-15	EC-15H	[7.362623969581088, 80.03109836703823]
EC-15I	Kuliyapitiya	LK	LK-6	LK-61	EC-15	EC-15I	[7.471742350567696, 80.10148213394754]
EC-15J	Dambadeniya	LK	LK-6	LK-61	EC-15	EC-15J	[7.360359482767126, 80.20666947684663]
EC-15K	Polgahawela	LK	LK-6	LK-61	EC-15	EC-15K	[7.4192343519900446, 80.29119833329833]
