id	lg_id	name	province_id	district_id
LG-52008	LG-52008	Sammanthurai PS	LK-5	LK-52
LG-52009	LG-52009	Kalmunai MC	LK-5	LK-52
LG-52010	LG-52010	Karaitheevu PS	LK-5	LK-52
LG-52011	LG-52011	Ninthavur PS	LK-5	LK-52
LG-52012	LG-52012	Addalachchenai PS	LK-5	LK-52
LG-52013	LG-52013	Irakkamam PS	LK-5	LK-52
LG-52014	LG-52014	Akkaraipattu PS	LK-5	LK-52
LG-52015	LG-52015	Akkaraipattu MC	LK-5	LK-52
LG-52016	LG-52016	Alayadiwembu PS	LK-5	LK-52
LG-52017	LG-52017	Damana PS	LK-5	LK-52
LG-52018	LG-52018	Thirukkovil PS	LK-5	LK-52
LG-52019	LG-52019	Pottuvil PS	LK-5	LK-52
LG-52020	LG-52020	Lahugala PS	LK-5	LK-52
LG-53001	LG-53001	Padavi Sri Pura PS	LK-5	LK-53
LG-53002	LG-53002	Kuchchaveli PS	LK-5	LK-53
LG-53003	LG-53003	Gomarankadawala PS	LK-5	LK-53
LG-53004	LG-53004	Morawewa PS	LK-5	LK-53
LG-53005	LG-53005	Trincomalee Town and Gravets PS	LK-5	LK-53
LG-53006	LG-53006	Trincomalee UC	LK-5	LK-53
LG-53007	LG-53007	Thambalagamuwa PS	LK-5	LK-53
LG-53008	LG-53008	Kanthalai PS	LK-5	LK-53
LG-53009	LG-53009	Kinniya PS	LK-5	LK-53
LG-53010	LG-53010	Kinniya UC	LK-5	LK-53
LG-53011	LG-53011	Muttur PS	LK-5	LK-53
LG-53012	LG-53012	Seruvila PS	LK-5	LK-53
LG-53013	LG-53013	Verugal PS	LK-5	LK-53
LG-61001	LG-61001	Giribawa PS	LK-6	LK-61
LG-61002	LG-61002	Galgamuwa PS	LK-6	LK-61
LG-61003	LG-61003	Maho PS	LK-6	LK-61
LG-61004	LG-61004	Nikaweratiya PS	LK-6	LK-61
LG-61005	LG-61005	Polpithigama PS	LK-6	LK-61
LG-61006	LG-61006	Ibbagamuwa PS	LK-6	LK-61
LG-61007	LG-61007	Wariyapola PS	LK-6	LK-61
LG-61008	LG-61008	Kobeigane PS	LK-6	LK-61
LG-61009	LG-61009	Bingiriya PS	LK-6	LK-61
LG-61010	LG-61010	Paduwasnuwara PS	LK-6	LK-61
LG-61011	LG-61011	Kurunegala PS	LK-6	LK-61
LG-61012	LG-61012	Kurunegala MC	LK-6	LK-61
LG-61013	LG-61013	Mawathagama PS	LK-6	LK-61
LG-61014	LG-61014	Rideegama PS	LK-6	LK-61
LG-61015	LG-61015	Polgahawela PS	LK-6	LK-61
LG-61016	LG-61016	Kuliyapitiya PS	LK-6	LK-61
LG-61017	LG-61017	Kuliyapitiya UC	LK-6	LK-61
LG-61018	LG-61018	Udubaddawa PS	LK-6	LK-61
LG-61019	LG-61019	Pannala PS	LK-6	LK-61
LG-61020	LG-61020	Narammala PS	LK-6	LK-61
LG-61021	LG-61021	Alawwa PS	LK-6	LK-61
